"1";"russia ha expelled dutch reporter newspaper ha mos";"0.00028";"0.00028";"0.00028";"0.00028";"0.87339";"0.03678";"0.00590";"0.00028";"0.02555";"0.00028";"0.03116";"0.02555"
"2";"largest important event mathematical calendar take";"0.01131";"0.00036";"0.11342";"0.02225";"0.00036";"0.01495";"0.14624";"0.00036";"0.28483";"0.00036";"0.00036";"0.40518"
"3";"earlier today set three question russian math comp";"0.01694";"0.01694";"0.14464";"0.05303";"0.00028";"0.00028";"0.14742";"0.05303";"0.18906";"0.00028";"0.00028";"0.37785"
"4";"labour ha asked conservative check party ha made d";"0.00023";"0.00023";"0.00478";"0.00934";"0.18921";"0.79258";"0.00023";"0.00023";"0.00250";"0.00023";"0.00023";"0.00023"
"5";"russia ha hosted high profile international talk a";"0.00500";"0.16207";"0.02166";"0.00024";"0.78796";"0.00262";"0.00024";"0.00024";"0.00976";"0.00024";"0.00976";"0.00024"
"6";"russia may dissolve memorial country premier human";"0.00710";"0.00017";"0.00017";"0.00017";"0.70703";"0.05735";"0.00017";"0.00017";"0.09546";"0.00017";"0.00017";"0.13184"
"7";"russia ha accused west building force border well ";"0.00036";"0.07859";"0.00036";"0.00036";"0.91074";"0.00036";"0.00036";"0.00036";"0.00036";"0.00036";"0.00036";"0.00747"
"8";"germany new chancellor faced pressure fellow leade";"0.00026";"0.43786";"0.00026";"0.00026";"0.52071";"0.00026";"0.00026";"0.00026";"0.00026";"0.00285";"0.03651";"0.00026"
"9";"nato secretary general jens stoltenberg ha caution";"0.00023";"0.16949";"0.00023";"0.00023";"0.77333";"0.00709";"0.00023";"0.00252";"0.00023";"0.00023";"0.04597";"0.00023"
"10";"good morning malcolm turnbull welcome climate focu";"0.08271";"0.00013";"0.07395";"0.07895";"0.07395";"0.22785";"0.00138";"0.03016";"0.37425";"0.00138";"0.02515";"0.03016"
"11";"swift reprisal package russia including troop patr";"0.00337";"0.46934";"0.00337";"0.00031";"0.41110";"0.00031";"0.00031";"0.00950";"0.00337";"0.00031";"0.09841";"0.00031"
"12";"ha evidence russia ha made plan large scale attack";"0.00020";"0.42629";"0.00020";"0.00020";"0.55553";"0.00020";"0.00020";"0.00020";"0.00222";"0.00020";"0.01434";"0.00020"
"13";"man putin couldnt kill pm channel horror absurdity";"0.00030";"0.00030";"0.03920";"0.00030";"0.14093";"0.00030";"0.11400";"0.09007";"0.24267";"0.00030";"0.00030";"0.37133"
